true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
KJ643580_1	KJ643580.1.consensus.fa	.	0	0	0	15129	.	.
KJ939966_1	KJ939966.1.consensus.fa	.	1	0	0	15210	15175	.
KU950588_1	KU950588.1.consensus.fa	.	0	0	0	15172	.	.
MH594367_1	node_1743.consensus.fa	.	0	0	0	14994	.	.
MT373705_1	MT373705.1.consensus.fa	.	0	0	0	15154	.	.
MW160837_1	MW160837.1.consensus.fa	.	0	0	0	15215	.	.
MZ515559_1	MZ515559.1.consensus.fa	.	0	0	0	15273	.	.
MZ515674_1	MZ515674.1.consensus.fa	.	0	0	0	15270	.	.
OM857156_1	OM857156.1.consensus.fa	.	0	0	0	14958	.	.
OM857360_1	OM857360.1.consensus.fa	.	0	0	0	15182	.	.
