true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
KF826825_1	KF826825.1.consensus.fa	.	0	0	0	15258	.	.
KJ627663_1	node_331.consensus.fa	.	0	0	0	15087	.	15088
KJ643529_1	KJ643529.1.consensus.fa	.	0	0	0	15135	.	.
KU839629_1	KU950532.1.consensus.fa	.	0	0	49	15220	.	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,15221,15222,15223,15224,15225,15226,15227,15228,15229,15230,15231
KU950558_1	KU950558.1.consensus.fa	.	0	0	0	15220	.	.
KX765952_1	KX765952.1.consensus.fa	.	0	0	0	15171	.	.
MG642034_1	MG642034.1.consensus.fa	.	0	0	0	15108	.	.
MH760630_1	node_3144.consensus.fa	.	0	0	0	14958	.	.
MN365407_1	MN365407.1.consensus.fa	.	0	0	0	15248	.	.
MZ515718_1	MZ515718.1.consensus.fa	.	0	0	0	15272	.	.
