true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
Denmark_DCGC_599763_2022_OY836217_1_2022_10_17	Denmark_DCGC-599763_2022_OY836217.1_2022-10-17.consensus.fa	.	5	0	0	29869	738,6204,6534,9729,21578	.
England_MILK_344FEB3_2022_OV817379_1_2022_01_26	England_MILK-344FEB3_2022_OV817379.1_2022-01-26.consensus.fa	.	0	0	0	29866	.	.
Germany_Molecular_surveillance_of_SARS_CoV_2_in_Germany_2021_OV342561_1_2021_09_10	Germany_Molecular_surveillance_of_SARS-CoV-2_in_Germany_2021_OV342561.1_2021-09-10.consensus.fa	.	1	0	0	29872	29837	.
USA_CA_CDC_STM_XAH3WETJM_2022_OP911649_1_2022_11_14	USA_CA-CDC-STM-XAH3WETJM_2022_OP911649.1_2022-11-14.consensus.fa	.	3	26	0	29866	1820,8393,21623	29697,29698,29699,29700,29701,29702,29703,29704,29705,29706,29707,29708,29709,29710,29711,29712,29713,29714,29715,29716,29717,29718,29719,29720,29721,29722
USA_CA_CHLA_PLM46323971_2020_MZ722413_1_2020_12_09	USA_CA-CHLA-PLM46323971_2020_MZ722413.1_2020-12-09.consensus.fa	.	3	0	0	29902	2565,18030,29867	.
USA_CO_CDPHE_2007061387_2020_OK659067_1_2020_07_06	USA_CO-CDPHE-2007061387_2020_OK659067.1_2020-07-06.consensus.fa	.	0	0	0	29781	.	.
USA_CO_CDPHE_41411769_2023_PP031687_1_2023_09_25	USA_CO-CDPHE-41411769_2023_PP031687.1_2023-09-25.consensus.fa	.	1	26	0	29731	11747	29625,29626,29627,29628,29629,29630,29631,29632,29633,29634,29635,29636,29637,29638,29639,29640,29641,29642,29643,29644,29645,29646,29647,29648,29649,29650
USA_FL_CDC_LC0637436_2022_ON608372_1_2022_05_12	USA_FL-CDC-LC0637436_2022_ON608372.1_2022-05-12.consensus.fa	.	3	26	0	29752	13945,17828,28677	29667,29668,29669,29670,29671,29672,29673,29674,29675,29676,29677,29678,29679,29680,29681,29682,29683,29684,29685,29686,29687,29688,29689,29690,29691,29692
USA_IL_CDC_QDX40817725_2022_OP411780_1_2022_08_28	USA_NJ-CDC-LC0867786_2022_OP424144.1_2022-08-29.consensus.fa	.	5	26	11	29745	804,7002,9501,18058,18637	0,1,2,3,4,5,6,7,8,9,10,29661,29662,29663,29664,29665,29666,29667,29668,29669,29670,29671,29672,29673,29674,29675,29676,29677,29678,29679,29680,29681,29682,29683,29684,29685,29686,29746,29747,29748,29749,29750,29751,29752,29753,29754
USA_WA_S20280_2022_ON660803_1_2022_05_20	USA_WA-S20280_2022_ON660803.1_2022-05-20.consensus.fa	.	6	0	0	29740	1879,10613,12447,21572,21916,21920	.
