true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
DI482023_1	node_2195.consensus.fa	.	2	2	0	15225	87,95	7548,7549
KF530262_1	KF530262.1.consensus.fa	.	0	0	0	15104	.	.
KJ672469_1	KJ672469.1.consensus.fa	.	0	0	0	15174	.	.
KP856969_1	KP856969.1.consensus.fa	.	0	0	0	15081	.	.
KU316143_1	KU316143.1.consensus.fa	.	0	0	0	15170	.	.
KU950460_1	KU950460.1.consensus.fa	.	2	0	0	15124	12477,15097	.
KU950541_1	KU950541.1.consensus.fa	.	0	0	0	15148	.	.
MN365359_1	MN365359.1.consensus.fa	.	0	0	0	15225	.	.
MN365585_1	MN365585.1.consensus.fa	.	0	0	0	15214	.	.
OM857249_1	OM857249.1.consensus.fa	.	1	0	0	14959	14948	.
