true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
KF973320_1	KF973333.1.consensus.fa	.	0	0	2	15169	.	0,1
MF001042_1	MF001042.1.consensus.fa	.	1	0	0	15175	15153	.
MH760714_1	MH760714.1.consensus.fa	.	0	0	0	14961	.	.
MN365387_1	MN365387.1.consensus.fa	.	0	0	0	15221	.	.
MN365506_1	MN365506.1.consensus.fa	.	0	0	0	15199	.	.
MZ515630_1	MZ515630.1.consensus.fa	.	0	0	0	15269	.	.
MZ515649_1	MZ515649.1.consensus.fa	.	0	0	0	15280	.	.
MZ515660_1	MZ515660.1.consensus.fa	.	0	0	0	15272	.	.
MZ516112_1	MZ516112.1.consensus.fa	.	1	0	0	15279	15239	.
OM857220_1	OM857220.1.consensus.fa	.	2	0	0	14959	24,14948	.
.	KF973330.1.consensus.fa	KF973320_1	2	0	1	15168	2,4	0
