true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
KJ627251_1	KJ627251.1.consensus.fa	.	0	0	0	15171	.	.
KP258723_1	KP258723.1.consensus.fa	.	0	0	0	15111	.	.
KU950664_1	KU950664.1.consensus.fa	.	0	0	0	15227	.	.
KY249679_1	KY249679.1.consensus.fa	.	0	0	0	15252	.	.
LC324679_1	LC324679.1.consensus.fa	.	0	0	0	14949	.	.
MK749914_1	MK749914.1.consensus.fa	.	0	0	0	15212	.	.
MN365544_1	MN365544.1.consensus.fa	.	0	0	0	15211	.	.
MZ515640_1	node_3730.consensus.fa	.	0	0	0	15275	.	.
OK649637_1	OK649637.1.consensus.fa	.	0	0	0	15176	.	.
OM857272_1	OM857271.1.consensus.fa	.	1	0	0	14959	14948	.
