true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
Denmark_DCGC_363533_2022_OX097833_1_2022_02_04	Denmark_DCGC-363533_2022_OX097833.1_2022-02-04.consensus.fa	.	2	0	0	29869	20,20426	.
England_QEUH_C5BA0C_2020_OD916958_1_2020_12_14	England_QEUH-C5BA0C_2020_OD916958.1_2020-12-14.consensus.fa	.	0	0	0	29902	.	.
Germany_IMS_10036_CVDP_00182_2021_OU071802_1_2021_02_03	Germany_IMS-10036-CVDP-00182_2021_OU071802.1_2021-02-03.consensus.fa	.	0	0	0	29902	.	.
Japan_SZ_NIG_Y211223_2021_BS001608_1_2021_08_02	Japan_SZ-NIG-Y211223_2021_BS001608.1_2021-08-02.consensus.fa	.	5	0	0	29835	12010,14088,20989,21416,22019	.
Switzerland_JU_UHB_43180012_2021_OV312934_1_2021_11_16	Switzerland_JU-UHB-43180012_2021_OV312934.1_2021-11-16.consensus.fa	.	0	0	0	29889	.	.
USA_2405881_2022_OR093656_1_2022_11_21	USA_2405881_2022_OR093656.1_2022-11-21.consensus.fa	.	0	0	0	29644	.	.
USA_CO_CDPHE_2103698072_2022_OP760541_1_2022_10_07	USA_CO-CDPHE-2103698072_2022_OP760541.1_2022-10-07.consensus.fa	.	1	0	0	29767	4405	.
USA_NJ_CDC_LC0310601_2021_OK522642_1_2021_09_30	USA_NJ-CDC-LC0310601_2021_OK522642.1_2021-09-30.consensus.fa	.	4	0	0	29766	7602,9279,20958,21988	.
USA_NY_CDC_QDX45593563_2023_OQ357086_1_2023_01_14	USA_NY-CDC-QDX45593563_2023_OQ357086.1_2023-01-14.consensus.fa	.	0	0	0	29720	.	.
USA_SD_INBRE_02558_2023_OR804255_1_2023	USA_SD-INBRE-02558_2023_OR804255.1_2023.consensus.fa	.	1	0	0	29756	1304	.
