true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
Denmark_DCGC_125275_2021_OV914540_1_2021_07_07	Denmark_DCGC-125275_2021_OV914540.1_2021-07-07.consensus.fa	.	5	0	0	29889	6698,12794,13967,23822,24740	.
Denmark_DCGC_207326_2021_OV845502_1_2021_11_03	Denmark_DCGC-207326_2021_OV845502.1_2021-11-03.consensus.fa	.	5	0	0	29889	945,2467,10361,19892,25350	.
England_MILK_9AB6FD_2020_OY954617_1_2020_08_31	England_MILK-9AB6FD_2020_OY954617.1_2020-08-31.consensus.fa	.	7	0	0	29887	6336,12486,17098,21676,22549,22750,29280	.
England_QEUH_AD23D7_2020_OB989688_1_2020_10_26	England_ALDP-9CB6BB_2020_OA984178.1_2020-09-16.consensus.fa	.	10	0	0	29853	712,2684,3822,6351,6969,7433,7904,10364,13578,15671	.
Germany_IMS_10136_CVDP_29F04D1C_A841_4855_857E_FA314B971536_2022_OY079489_1_2022_07_20	Germany_IMS-10136-CVDP-29F04D1C-A841-4855-857E-FA314B971536_2022_OY079489.1_2022-07-20.consensus.fa	.	7	0	0	29722	350,5407,6080,7690,14893,18249,25076	.
Scotland_CVR2465_2020_OX670918_1_2020_04_14	Scotland_CVR2465_2020_OX670918.1_2020-04-14.consensus.fa	.	10	0	0	29781	2413,4556,9899,10720,12071,14413,20767,21637,22711,27489	.
USA_CA_CDC_3744771_001_2020_MW001675_1_2020_06_16	USA_CA-CDC-3744771-001_2020_MW001675.1_2020-06-16.consensus.fa	.	6	0	0	29881	6698,10042,13967,17818,24706,25017	.
USA_CO_CDPHE_2008110573_2020_OK598425_1_2020_08_10	USA_CO-CDPHE-2008110573_2020_OK598425.1_2020-08-10.consensus.fa	.	2	0	0	29807	9297,21815	.
USA_MS_MSPHL_0575_2023_OR575698_1_2023_08_17	USA_MS-MSPHL-0575_2023_OR575698.1_2023-08-17.consensus.fa	.	2	0	0	29872	14947,15002	.
USA_UT_UPHL_231003524210_2023_OR707607_1_2023_09_28	USA_UT-UPHL-231003524210_2023_OR707607.1_2023-09-28.consensus.fa	.	4	0	0	29755	973,3027,12064,14895	.
.	England_ALDP-4FFC66_2020_OA981066.1_2020-06-24.consensus.fa	Scotland_CVR2465_2020_OX670918_1_2020_04_14	42	0	54	29835	1548,2684,3563,4610,4906,4995,6134,7161,8360,9224,9270,9325,9953,10774,12125,12794,12923,13843,13967,14467,15487,16288,16456,17113,19759,19892,20662,20821,21691,21763,22765,24706,25154,25428,26415,26572,26947,27543,28880,28881,28882,29601	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,29836,29837,29838,29839,29840,29841,29842,29843,29844,29845,29846,29847,29848,29849,29850,29851,29852,29853,29854,29855,29856,29857,29858,29859,29860,29861,29862,29863,29864,29865,29866,29867,29868,29869,29870,29871,29872,29873,29874,29875,29876,29877,29878,29879,29880,29881,29882,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902
.	USA_UT-00023_2020_MT334541.1_2020-03-11.consensus.fa	Scotland_CVR2465_2020_OX670918_1_2020_04_14	12	0	53	29834	2466,4609,7160,9952,10773,12124,13966,14466,20820,21690,22764,27542	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,29835,29836,29837,29838,29839,29840,29841,29842,29843,29844,29845,29846,29847,29848,29849,29850,29851,29852,29853,29854,29855,29856,29857,29858,29859,29860,29861,29862,29863,29864,29865,29866,29867,29868,29869,29870,29871,29872,29873,29874,29875,29876,29877,29878,29879,29880,29881,29882,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901
