true_haplotype	consensus	closest_true	snp_dist	gap_edge_corrected_dist
CHN_NJCDC_378_2023_C_AA022520_1_2023_05_16	CHN_NJCDC-378_2023_C_AA022520.1_2023-05-16.consensus.fa	.	1	0	0	29868	25359	.
England_MILK_AB7639_2020_2020_10_20	England_MILK-AB7639_2020_2020-10-20.consensus.fa	.	1	0	0	29902	17120	.
FRA_IHUCOVID_030583_Nova1_2021_ON437703_1_2021_09_04	FRA_IHUCOVID-030583_Nova1_2021_ON437703.1_2021-09-04.consensus.fa	.	2	0	0	29688	13134,27948	.
Germany_IMS_10213_CVDP_132FEFA2_80A8_4CDF_8B87_C6D96005BADC_2023_OY047537_1_2023_01_09	Germany_IMS-10213-CVDP-132FEFA2-80A8-4CDF-8B87-C6D96005BADC_2023_OY047537.1_2023-01-09.consensus.fa	.	4	0	0	29745	1121,3488,10696,17049	.
Scotland_QEUH_1B8B88F_2021_OU565011_1_2021_08_11	Scotland_QEUH-1B8B88F_2021_OU565011.1_2021-08-11.consensus.fa	.	0	0	0	29880	.	.
USA_CA_CDPH_500122960_2023_OR609741_1_2023_08_22	USA_CA-CDPH-500122960_2023_OR609741.1_2023-08-22.consensus.fa	.	1	0	0	29769	18468	.
USA_CA_SEARCH_134737_2023_PP041713_1_2023_05_01	USA_CA-SEARCH-134737_2023_PP041713.1_2023-05-01.consensus.fa	.	0	0	0	29561	.	.
USA_FL_CDC_QDX28131384_2021_OK095731_1_2021_08_23	USA_FL-CDC-QDX28131384_2021_OK095731.1_2021-08-23.consensus.fa	.	3	0	0	29768	11227,21973,28186	.
USA_MN_CDC_QDX45343529_2023_OQ327888_1_2023_01_05	USA_MN-CDC-QDX45343529_2023_OQ327888.1_2023-01-05.consensus.fa	.	1	0	0	29720	26619	.
USA_PA_CDC_QDX86463838_2023_OR816291_1_2023_10_16	USA_PA-CDC-QDX86463838_2023_OR816291.1_2023-10-16.consensus.fa	.	1	0	0	29720	20220	.
